# Furuta Pendulum Solver Timing Results
# Generated:,2025-11-21 09:20:37
# Time span:,0 to 10 seconds
# Initial conditions:,"θ=0, θ̇=0, α=1.5708, α̇=0"
# Parameters:,"{'m_alpha': 0.1, 'm_theta': 0.2, 'L': 0.095, 'r': 0.095, 'g': 9.81, 'tau': 0.0}"

timestep_h,num_steps,rk45_time_sec,euler_fwd_time_sec,euler_bwd_time_sec,rk4_time_sec
1e-05,1000000,0.057814,18.912274,177.017329,78.526567
0.0001,100000,0.039188,1.884795,17.928462,7.840249
0.01,1000,0.037102,0.018898,0.192363,0.078691
0.1,100,0.036715,0.002197,0.018858,0.008124
